Date,Open,High,Low,Close,Adj Close,Volume
1996-11-19,14.865314,14.927204,14.501707,14.644829,10.005357,68099673
1996-11-20,14.660302,14.660302,14.087815,14.145837,9.664446,53681942
1996-11-21,14.122628,14.281223,13.759022,13.898275,9.495312,96769682
1996-11-22,13.747418,13.979507,13.666186,13.759022,9.400172,107101485
1996-11-25,13.712604,14.722192,13.441833,14.416608,9.849441,164881636
1996-11-26,14.668038,15.058722,14.161310,14.652565,10.010644,183775663
1996-11-27,14.157442,14.157442,13.712604,14.049133,9.598379,102662028
1996-11-28,14.080079,14.230937,13.886671,13.975639,9.548168,60004726
1996-11-29,14.072342,14.180651,13.948561,14.025925,9.582521,46489234
1996-12-02,13.944693,14.153574,13.859594,13.991111,9.558739,33767402
1996-12-03,13.925353,14.420476,13.902144,14.103288,9.635376,92385808
1996-12-04,14.002716,14.002716,13.701000,13.906012,9.500601,62287469
1996-12-05,13.778363,14.304432,13.673923,14.145837,9.664446,87287122
1996-12-06,14.215464,14.308300,14.080079,14.169046,9.680304,51448964
1996-12-09,14.080079,14.277355,14.068474,14.145837,9.664446,37558616
1996-12-10,14.080079,14.111024,13.813176,13.902144,9.497956,50711532
1996-12-11,13.960166,14.876918,13.960166,14.873050,10.161281,94396457
1996-12-12,15.008436,15.112876,14.490103,14.548125,9.939291,112105164
1996-12-13,14.474630,14.621620,14.335377,14.551993,9.941934,58396723
1996-12-16,14.644829,15.163162,14.644829,15.070326,10.296059,91661948
1996-12-17,15.047117,15.170898,14.714456,14.869182,10.158635,77915080
1996-12-18,15.085799,15.375910,14.981359,15.089667,10.309272,91256070
1996-12-19,15.047117,15.279206,14.911732,15.097403,10.314557,61698686
1996-12-20,15.286943,15.898111,15.286943,15.782066,10.782321,165689515
1996-12-23,15.855561,15.855561,15.441669,15.546109,10.621112,96049701
1996-12-24,15.503559,15.627340,15.356569,15.515164,10.599972,70532358
1996-12-25,15.515164,15.515164,15.515164,15.515164,10.599972,0
1996-12-26,15.782066,16.304268,15.782066,16.226904,11.086233,66787678
1996-12-27,16.226904,16.226904,16.226904,16.226904,11.086233,0
1996-12-30,16.226904,16.226904,16.226904,16.226904,11.086233,0
1996-12-31,16.304268,16.323608,15.867166,15.987078,10.922385,48168329
1997-01-01,16.207563,17.058558,16.207563,16.973457,11.596279,130531268
1997-01-02,17.016006,17.019875,16.524752,16.571171,11.321435,96266858
1997-01-03,16.443521,16.807127,16.443521,16.764578,11.453571,90690555
1997-01-06,16.865149,16.942513,16.594379,16.656269,11.379575,60709843
1997-01-07,16.640797,16.899963,16.540224,16.772314,11.458861,89004996
1997-01-08,17.170732,17.402822,16.903831,17.046953,11.646491,124961427
1997-01-09,16.923172,17.166864,16.814863,17.008270,11.620063,93056024
1997-01-10,17.290646,17.360273,17.116579,17.221020,11.765414,93742398
1997-01-13,17.019875,17.251965,16.903831,17.193941,11.746914,77200915
